#http://mips.as.arizona.edu/~cnaw/sun.html -- https://ui.adsabs.harvard.edu/abs/2018ApJS..236...47W/abstract
#filter,vegamag,AB,ST,Apparent(vegamag),Apparent(AB),Apparent(ST),ABmagofVega,STmagofVega,PivotWavelength(μm),FilterReference
Bessell_Murphy_V,4.82,4.81,4.81,-26.75,-26.77,-26.76,-0.017,-0.012,0.5489,https://doi.org/10.1086/664083
Bessell_Murphy_R,4.44,4.61,4.99,-27.13,-26.96,-26.58,0.168,0.548,0.6524,https://doi.org/10.1086/664083
Bessell_Murphy_I,4.11,4.52,5.33,-27.46,-27.06,-26.24,0.408,1.227,0.7984,https://doi.org/10.1086/664083
Bessell_Murphy_Bt,5.60,5.51,4.93,-25.98,-26.06,-26.65,-0.088,-0.669,0.4190,https://doi.org/10.1086/664083
Bessell_Murphy_Vt,4.89,4.86,4.79,-26.68,-26.71,-26.79,-0.038,-0.108,0.5300,https://doi.org/10.1086/664083
Bessell_Murphy_Hp,4.93,4.92,4.86,-26.64,-26.66,-26.71,-0.018,-0.068,0.5349,https://doi.org/10.1086/664083
Bessell_88_J,3.67,4.54,6.30,-27.90,-27.03,-25.27,0.866,2.632,1.2347,https://doi.org/10.1086/132281
Bessell_88_H,3.32,4.66,7.05,-28.25,-26.91,-24.52,1.337,3.726,1.6450,https://doi.org/10.1086/132281
Bessell_88_K,3.27,5.09,8.07,-28.30,-26.49,-23.50,1.815,4.802,2.1663,https://doi.org/10.1086/132281
Bessell_88_L,3.26,5.98,10.00,-28.31,-25.59,-21.57,2.721,6.737,3.4797,https://doi.org/10.1086/132281
Bessell_88_Lprime,3.26,6.17,10.39,-28.31,-25.40,-21.18,2.914,7.135,3.8247,https://doi.org/10.1086/132281
Bessell_88_M,3.29,6.64,11.33,-28.28,-24.93,-20.25,3.349,8.034,4.7347,https://doi.org/10.1086/132281
GALEX_FUV,15.22,17.30,14.54,-16.36,-14.27,-17.03,2.085,-0.676,0.1535,https://universe.gsfc.nasa.gov/archive/galex/Documents/PostLaunchFUVImagingResponseCurves.htm
GALEX_NUV,8.53,10.16,8.28,-23.04,-21.41,-23.30,1.629,-0.253,0.2301,https://universe.gsfc.nasa.gov/archive/galex/Documents/PostLaunchFUVImagingResponseCurves.htm
WISE_1,3.26,5.92,9.87,-28.31,-25.66,-21.70,2.655,6.614,3.3897,https://doi.org/10.1088/0004-637X/735/2/112
WISE_2,3.28,6.58,11.22,-28.29,-25.00,-20.36,3.291,7.932,4.6406,https://doi.org/10.1088/0004-637X/735/2/112
WISE_3,3.26,8.48,15.28,-28.31,-23.09,-16.29,5.215,12.019,12.5705,https://doi.org/10.1088/0004-637X/735/2/112
WISE_4,3.27,9.88,17.93,-28.30,-21.70,-13.65,6.602,14.652,22.3142,https://doi.org/10.1088/0004-637X/735/2/112
IRAS12,3.26,8.30,14.89,-28.31,-23.27,-16.69,5.037,11.621,11.3562,http://irsa.ipac.caltech.edu/IRASdocs/exp.sup/ch2/tabC5.html
IRAS25,3.27,9.92,18.09,-28.30,-21.65,-13.48,6.646,14.819,23.6079,http://irsa.ipac.caltech.edu/IRASdocs/exp.sup/ch2/tabC5.html
IRAS60,3.29,11.91,22.12,-28.29,-19.67,-9.45,8.621,18.833,60.3699,http://irsa.ipac.caltech.edu/IRASdocs/exp.sup/ch2/tabC5.html
IRAS100,3.29,13.14,24.47,-28.29,-18.43,-7.10,9.854,21.186,101.1267,http://irsa.ipac.caltech.edu/IRASdocs/exp.sup/ch2/tabC5.html
IRAC_3.6,3.26,6.02,10.08,-28.31,-25.55,-21.50,2.758,6.817,3.5508,http://irsa.ipac.caltech.edu/data/SPITZER/docs/irac/calibrationfiles/spectralresponse/
IRAC_4.5,3.28,6.51,11.08,-28.29,-25.06,-20.49,3.232,7.804,4.4960,http://irsa.ipac.caltech.edu/data/SPITZER/docs/irac/calibrationfiles/spectralresponse/
IRAC_5.8,3.28,7.00,12.09,-28.29,-24.58,-19.48,3.720,8.816,5.7245,http://irsa.ipac.caltech.edu/data/SPITZER/docs/irac/calibrationfiles/spectralresponse/
IRAC_8.0,3.26,7.62,13.42,-28.31,-23.95,-18.16,4.360,10.152,7.8842,http://irsa.ipac.caltech.edu/data/SPITZER/docs/irac/calibrationfiles/spectralresponse/
IRS_16,3.27,9.11,16.42,-28.31,-22.47,-15.15,5.839,13.157,15.9222,http://irsa.ipac.caltech.edu/data/SPITZER/docs/files/spitzer/bluePUtrans.txt
IRS_22,3.27,9.86,17.92,-28.30,-21.71,-13.65,6.584,14.650,22.4704,http://irsa.ipac.caltech.edu/data/SPITZER/docs/files/spitzer/redPUtrans.txt
MIPS_24,3.28,10.01,18.19,-28.30,-21.57,-13.38,6.731,14.918,23.7592,http://irsa.ipac.caltech.edu/data/SPITZER/docs/files/spitzer/MIPSfiltsumm.txt
MIPS_70,3.29,12.40,23.00,-28.28,-19.17,-8.58,9.114,19.708,71.9861,http://irsa.ipac.caltech.edu/data/SPITZER/docs/files/spitzer/MIPSfiltsumm.txt
MIPS_160,3.28,14.14,26.42,-28.29,-17.43,-5.15,10.857,23.137,156.4274,http://irsa.ipac.caltech.edu/data/SPITZER/docs/files/spitzer/MIPSfiltsumm.txt
ACS_F330W,5.34,6.43,5.47,-26.24,-25.14,-26.10,1.097,0.139,0.3521,ftp://ftp.stsci.edu/cdbs/comp/acs
ACS_F410W,5.70,5.67,5.02,-25.87,-25.90,-26.55,-0.033,-0.680,0.4064,ftp://ftp.stsci.edu/cdbs/comp/acs
ACS_F435W,5.48,5.35,4.84,-26.09,-26.22,-26.73,-0.129,-0.639,0.4328,ftp://ftp.stsci.edu/cdbs/comp/acs
ACS_F475W,5.21,5.09,4.78,-26.36,-26.49,-26.80,-0.122,-0.432,0.4747,ftp://ftp.stsci.edu/cdbs/comp/acs
ACS_F555W,4.87,4.84,4.79,-26.71,-26.74,-26.78,-0.030,-0.076,0.5361,ftp://ftp.stsci.edu/cdbs/comp/acs
